nombre,puntaje_resistencia,dificultad_resistencia,puntaje_fuerza,dificultad_fuerza,puntaje_velocidad,dificultad_velocidad,puntaje_final,clasifica
Pepe,90.0,1.09,80.0,1.28,99.0,1.03,89,si
Luisito,24.0,1.07,5.0,1.02,25.0,1.04,18,no
Danerys,99.0,1.0,89.0,1.25,100.0,1.13,96,si
lala,80.0,1.24,80.0,1.2,80.0,1.26,80,si
pipe,60.0,1.05,100.0,1.04,100.0,1.29,88,si
pedro,40.0,1.05,40.0,1.11,40.0,1.18,40,no
lali,30.0,1.17,5.0,1.19,5.0,1.07,14,no
bb,6.0,1.03,6.0,1.03,6.0,1.11,6,no
ana,10.0,1.3,6.0,1.12,90.0,1.11,34,no
pascal,100.0,1.05,100.0,1.24,20.0,1.16,73,si
Salomon,100.0,1.23,99.0,1.17,99.0,1.25,99,si
sirena,50.0,1.19,30.0,1.1,100.0,1.17,61,no
Drogon,100.0,1.03,100.0,1.16,100.0,1.1,100,si
Rhaegal,70.0,1.12,70.0,1.23,80.0,1.03,73,si
Viserion,30.0,1.27,30.0,1.15,30.0,1.13,30,no
Viserys,50.0,1.06,60.0,1.19,30.0,1.3,46,no
Caraxes,100.0,1.06,99.0,1.14,100.0,1.1,100,si
Syrax,80.0,1.03,90.0,1.27,92.0,1.24,88,si
Vhagar,100.0,1.28,100.0,1.0,70.0,1.23,89,si
Arrax,60.0,1.23,40.0,1.12,69.0,1.14,57,no
